location_id,neighbourhood_group,neighbourhood,latitude,longitude
45,Manhattan,Harlem,40.81175,-73.94478
46,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238
47,Queens,Long Island City,40.74771,-73.9474
48,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591
49,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409
50,Brooklyn,Fort Greene,40.69142,-73.97376
51,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934
52,Manhattan,Upper West Side,40.78635,-73.97008
53,Brooklyn,Williamsburg,40.7042,-73.9356
54,Brooklyn,Greenpoint,40.73506,-73.95392
55,Manhattan,Kips Bay,40.73961,-73.98074
56,Brooklyn,Williamsburg,40.70881,-73.9593
57,Manhattan,Lower East Side,40.72004,-73.99104
58,Manhattan,Hell's Kitchen,40.75531,-73.99293
59,Brooklyn,Greenpoint,40.72401,-73.93788
60,Manhattan,SoHo,40.7221,-73.99775
61,Brooklyn,Williamsburg,40.71185,-73.96204
62,Manhattan,Chelsea,40.74623,-73.9953
63,Manhattan,Upper East Side,40.77065,-73.95269
64,Brooklyn,Prospect Heights,40.67811,-73.96428
65,Brooklyn,Clinton Hill,40.69,-73.96788
66,Manhattan,Hell's Kitchen,40.75979,-73.99119
67,Brooklyn,Park Slope,40.67343,-73.98338
68,Manhattan,East Village,40.72649,-73.97904
69,Brooklyn,Williamsburg,40.70933,-73.96792
70,Manhattan,East Village,40.72298,-73.98474
71,Manhattan,East Harlem,40.80164,-73.93922
72,Manhattan,East Village,40.72162,-73.98008
73,Manhattan,Hell's Kitchen,40.76342,-73.98865
74,Manhattan,Washington Heights,40.83139,-73.94095
75,Brooklyn,Clinton Hill,40.68346,-73.96374
76,Manhattan,East Village,40.72828,-73.98801
77,Manhattan,Upper East Side,40.76865,-73.95058
78,Queens,Woodside,40.75038,-73.90334
79,Brooklyn,Fort Greene,40.6932,-73.97267
80,Manhattan,Chelsea,40.74138,-74.00197
81,Brooklyn,Williamsburg,40.71154,-73.96112
82,Manhattan,Harlem,40.82915,-73.95136
83,Manhattan,Lower East Side,40.71851,-73.98892
84,Brooklyn,Flatbush,40.65401,-73.96323
85,Manhattan,Lower East Side,40.7114,-73.98794
86,Brooklyn,Brooklyn Heights,40.69723,-73.99268
87,Brooklyn,Williamsburg,40.71833,-73.95748
88,Manhattan,East Village,40.72334,-73.9844
89,Manhattan,East Village,40.72912,-73.98057
90,Brooklyn,Williamsburg,40.71156,-73.96218
91,Brooklyn,Bushwick,40.70032,-73.9383
92,Brooklyn,Prospect Heights,40.68233,-73.97261
93,Brooklyn,Clinton Hill,40.68634,-73.966
94,Brooklyn,Prospect Heights,40.68035,-73.97162
95,Brooklyn,Williamsburg,40.70984,-73.95775
96,Brooklyn,Bushwick,40.70093,-73.92609
97,Manhattan,Upper West Side,40.79764,-73.96177
98,Manhattan,Harlem,40.82803,-73.94731
99,Manhattan,Chelsea,40.74008,-74.00271
100,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357
101,Manhattan,Harlem,40.82279,-73.95139
102,Brooklyn,Carroll Gardens,40.67967,-74.00154
103,Manhattan,Washington Heights,40.83927,-73.94281
104,Manhattan,West Village,40.73096,-74.00319
105,Brooklyn,Williamsburg,40.71332,-73.94177
106,Brooklyn,Park Slope,40.66941,-73.98109
107,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377
108,Brooklyn,Williamsburg,40.71459,-73.94844
109,Manhattan,Harlem,40.8092,-73.94421
110,Brooklyn,Gowanus,40.68157,-73.98989
111,Manhattan,Hell's Kitchen,40.75527,-73.99291
112,Brooklyn,Clinton Hill,40.68698,-73.96572
113,Manhattan,East Village,40.7288,-73.98192
114,Brooklyn,South Slope,40.66853,-73.98912
115,Manhattan,East Village,40.7254,-73.98157
116,Manhattan,Kips Bay,40.74294,-73.98009
117,Brooklyn,Williamsburg,40.71942,-73.95748
118,Manhattan,Upper West Side,40.77823,-73.97637
119,Manhattan,East Village,40.72555,-73.97965
120,Brooklyn,South Slope,40.66831,-73.98604
121,Manhattan,Harlem,40.82754,-73.94919
122,Brooklyn,South Slope,40.66499,-73.97925
123,Manhattan,Upper West Side,40.77842,-73.97556
124,Manhattan,East Village,40.72245,-73.98527
125,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053
126,Brooklyn,Williamsburg,40.71923,-73.96468
127,Manhattan,Upper East Side,40.778,-73.94822
128,Manhattan,Washington Heights,40.85879,-73.93128
129,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547
130,Manhattan,Harlem,40.81618,-73.94894
131,Brooklyn,Clinton Hill,40.68414,-73.96351
132,Manhattan,East Village,40.72392,-73.99143
133,Brooklyn,Greenpoint,40.73494,-73.9503
134,Manhattan,Lower East Side,40.71341,-73.98856
135,Manhattan,Hell's Kitchen,40.76754,-73.98399
136,Manhattan,West Village,40.73442,-74.00303
137,Brooklyn,Flatlands,40.63188,-73.93248
138,Brooklyn,Clinton Hill,40.6873,-73.9634
139,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662
140,Brooklyn,Clinton Hill,40.6863,-73.96765
141,Brooklyn,Greenpoint,40.73409,-73.95348
142,Brooklyn,Williamsburg,40.71561,-73.94835
143,Brooklyn,Cobble Hill,40.6857,-73.99183
144,Queens,Flushing,40.74028,-73.83168
145,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524
146,Brooklyn,Williamsburg,40.71596,-73.93938
147,Brooklyn,Williamsburg,40.71492,-73.95935
148,Manhattan,East Village,40.72354,-73.98295
149,Brooklyn,Williamsburg,40.71165,-73.96087
150,Brooklyn,Fort Greene,40.69101,-73.97312
151,Manhattan,West Village,40.73474,-74.00101
152,Brooklyn,Prospect Heights,40.67386,-73.96641
153,Brooklyn,Williamsburg,40.71536,-73.96057
154,Brooklyn,Prospect Heights,40.6741,-73.96595
155,Manhattan,East Harlem,40.79295,-73.93997
156,Manhattan,West Village,40.73226,-74.00401
157,Brooklyn,Williamsburg,40.71363,-73.96398
158,Manhattan,Upper East Side,40.77711,-73.9527
159,Brooklyn,Boerum Hill,40.68559,-73.98094
160,Manhattan,Upper East Side,40.77456,-73.95323
161,Brooklyn,Williamsburg,40.71088,-73.95055
162,Queens,Sunnyside,40.74559,-73.92313
163,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659
164,Brooklyn,DUMBO,40.70207,-73.98571
165,Manhattan,Upper East Side,40.76123,-73.9642
166,Brooklyn,Gowanus,40.66858,-73.99083
167,Manhattan,Harlem,40.82704,-73.94907
168,Brooklyn,Clinton Hill,40.68843,-73.96408
169,Brooklyn,Carroll Gardens,40.6783,-74.00135
170,Staten Island,St. George,40.64524,-74.08088
171,Brooklyn,Bushwick,40.70641,-73.91765
172,Bronx,Highbridge,40.83232,-73.93184
173,Brooklyn,Williamsburg,40.71045,-73.9677
174,Manhattan,East Village,40.72518,-73.98034
175,Manhattan,Financial District,40.70666,-74.01374
176,Brooklyn,Fort Greene,40.69098,-73.97113
177,Manhattan,West Village,40.73756,-74.00405
178,Manhattan,Harlem,40.81526,-73.94791
179,Manhattan,West Village,40.73423,-74.0046
180,Manhattan,Harlem,40.82374,-73.9373
181,Brooklyn,Fort Greene,40.68863,-73.97691
182,Queens,Ridgewood,40.70382,-73.89797
183,Manhattan,Morningside Heights,40.80549,-73.95924
184,Brooklyn,Williamsburg,40.71627,-73.9587
185,Brooklyn,Park Slope,40.67994,-73.97863
186,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475
187,Brooklyn,Prospect Heights,40.67868,-73.97307
188,Manhattan,Upper East Side,40.76834,-73.95334
189,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415
190,Manhattan,Chelsea,40.74031,-73.99999
191,Manhattan,Hell's Kitchen,40.76307,-73.99665
192,Manhattan,Lower East Side,40.71882,-73.98852
193,Brooklyn,South Slope,40.6693,-73.98804
194,Manhattan,Upper East Side,40.77333,-73.95199
195,Manhattan,Lower East Side,40.72319,-73.99201
196,Manhattan,Chelsea,40.74859,-73.99671
197,Queens,Jamaica,40.67252,-73.76597
198,Manhattan,Hell's Kitchen,40.76244,-73.99271
199,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503
200,Queens,Middle Village,40.71722,-73.87856
201,Queens,Ridgewood,40.70234,-73.89816
202,Queens,Middle Village,40.71546,-73.87854
203,Brooklyn,Williamsburg,40.7195,-73.95976
204,Manhattan,Hell's Kitchen,40.76548,-73.98474
205,Manhattan,Harlem,40.80234,-73.95603
206,Brooklyn,Prospect Heights,40.6787,-73.97262
207,Manhattan,Harlem,40.81035,-73.94598
208,Bronx,Highbridge,40.83075,-73.93058
209,Manhattan,East Harlem,40.79958,-73.94275
210,Brooklyn,Williamsburg,40.71625,-73.93845
211,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549
212,Manhattan,NoHo,40.72773,-73.99134
213,Manhattan,West Village,40.72861,-74.0049
214,Brooklyn,Williamsburg,40.70979,-73.95162
215,Brooklyn,Fort Greene,40.68656,-73.97525
216,Manhattan,East Village,40.72752,-73.98432
217,Brooklyn,Greenpoint,40.729,-73.95829
218,Manhattan,Harlem,40.81219,-73.94499
219,Queens,Ditmars Steinway,40.77185,-73.90502
220,Brooklyn,Cobble Hill,40.68926,-73.99386
221,Manhattan,East Village,40.72821,-73.98701
222,Manhattan,Hell's Kitchen,40.7672,-73.98508
223,Manhattan,East Village,40.73012,-73.99053
224,Manhattan,Flatiron District,40.7403,-73.98498
225,Manhattan,Harlem,40.80931,-73.94343
226,Manhattan,Harlem,40.8251,-73.94287
227,Brooklyn,Windsor Terrace,40.6585,-73.98397
228,Manhattan,Roosevelt Island,40.76193,-73.9501
229,Manhattan,Lower East Side,40.72052,-73.98589
230,Queens,Ridgewood,40.70411,-73.89934
231,Brooklyn,Greenpoint,40.73401,-73.95967
232,Manhattan,Chinatown,40.71756,-73.99503
233,Manhattan,Midtown,40.7589,-73.96991
234,Manhattan,SoHo,40.72003,-74.00262
235,Manhattan,Greenwich Village,40.73194,-73.99474
236,Manhattan,East Harlem,40.79163,-73.94573
237,Manhattan,Harlem,40.8118,-73.94434
238,Manhattan,Harlem,40.81583,-73.94707
239,Manhattan,East Village,40.72654,-73.98049
240,Manhattan,Upper West Side,40.80021,-73.96071
241,Manhattan,East Harlem,40.80942,-73.93936
242,Manhattan,Little Italy,40.71961,-73.9954
243,Manhattan,Chelsea,40.74358,-74.00027
244,Manhattan,Harlem,40.80335,-73.9575
245,Manhattan,Chinatown,40.71445,-73.9908
246,Manhattan,Midtown,40.75749,-73.96897
247,Brooklyn,East Flatbush,40.64446,-73.9503
248,Manhattan,East Village,40.7268,-73.99079
249,Brooklyn,Bushwick,40.688,-73.9171
250,Staten Island,Tompkinsville,40.63536,-74.08537
251,Staten Island,Tompkinsville,40.63627,-74.08543
252,Staten Island,Tompkinsville,40.63518,-74.08546
253,Manhattan,East Village,40.72477,-73.98161
254,Manhattan,Chelsea,40.74238,-73.99567
255,Brooklyn,Greenpoint,40.72945,-73.95511
256,Brooklyn,Williamsburg,40.70763,-73.95177
257,Staten Island,Tompkinsville,40.63481,-74.08519
258,Queens,Astoria,40.75384,-73.91433
259,Brooklyn,Kensington,40.64106,-73.97426
260,Brooklyn,Park Slope,40.66793,-73.98327
261,Bronx,Clason Point,40.81309,-73.85514
262,Bronx,Eastchester,40.88057,-73.83572
263,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314
264,Manhattan,East Village,40.72185,-73.98246
265,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385
266,Manhattan,Inwood,40.86648,-73.9263
267,Brooklyn,Williamsburg,40.7069,-73.95467
268,Manhattan,East Village,40.72807,-73.98594
269,Brooklyn,Crown Heights,40.6778,-73.94339
270,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701
271,Brooklyn,Crown Heights,40.6761,-73.9529
272,Brooklyn,Crown Heights,40.67586,-73.95155
273,Manhattan,Little Italy,40.71702,-73.99811
274,Manhattan,East Village,40.72321,-73.98157
275,Manhattan,Upper West Side,40.77956,-73.98098
276,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264
277,Brooklyn,Williamsburg,40.71368,-73.9626
278,Manhattan,East Village,40.72956,-73.98158
279,Brooklyn,Williamsburg,40.71069,-73.95175
280,Brooklyn,Williamsburg,40.70863,-73.94641
281,Manhattan,Harlem,40.82888,-73.94307
282,Brooklyn,Park Slope,40.67319,-73.97323
283,Brooklyn,Carroll Gardens,40.67846,-73.99443
284,Brooklyn,Crown Heights,40.6715,-73.94808
285,Manhattan,East Village,40.72681,-73.98534
286,Manhattan,Lower East Side,40.71904,-73.99392
287,Brooklyn,Williamsburg,40.71031,-73.9583
288,Manhattan,Harlem,40.81322,-73.95306
289,Brooklyn,Park Slope,40.67732,-73.98225
290,Brooklyn,Gowanus,40.68076,-73.9896
291,Manhattan,East Harlem,40.79603,-73.94903
292,Brooklyn,Williamsburg,40.71492,-73.96282
293,Manhattan,Morningside Heights,40.80393,-73.95838
294,Manhattan,Upper West Side,40.80082,-73.9652
295,Manhattan,Harlem,40.82976,-73.94867
296,Brooklyn,Bedford-Stuyvesant,40.683,-73.91981
297,Manhattan,Upper West Side,40.78971,-73.9729
298,Brooklyn,Carroll Gardens,40.67817,-73.99495
299,Brooklyn,Greenpoint,40.73119,-73.95578
300,Manhattan,Little Italy,40.71943,-73.99627
301,Manhattan,Upper West Side,40.78,-73.98249
302,Brooklyn,Bushwick,40.70514,-73.91922
303,Manhattan,Inwood,40.86713,-73.92811
304,Manhattan,East Village,40.73198,-73.98881
305,Manhattan,East Village,40.72542,-73.97986
306,Manhattan,Washington Heights,40.83494,-73.93869
307,Manhattan,Chinatown,40.71659,-73.98945
308,Manhattan,West Village,40.72966,-74.00243
309,Brooklyn,Greenpoint,40.72898,-73.95552
310,Bronx,Kingsbridge,40.87207,-73.90193
311,Manhattan,Upper West Side,40.77728,-73.97818
312,Brooklyn,Greenpoint,40.72646,-73.95341
313,Brooklyn,Williamsburg,40.71015,-73.96101
314,Brooklyn,Williamsburg,40.71903,-73.9597
315,Manhattan,East Harlem,40.80892,-73.93985
316,Manhattan,Harlem,40.80276,-73.9567
317,Queens,Astoria,40.77635,-73.93426
318,Brooklyn,Greenpoint,40.72488,-73.95018
319,Brooklyn,Williamsburg,40.71398,-73.95763
320,Manhattan,Lower East Side,40.71876,-73.98394
321,Brooklyn,South Slope,40.66552,-73.99019
322,Brooklyn,Greenpoint,40.73749,-73.95292
323,Manhattan,Hell's Kitchen,40.76248,-73.9913
324,Brooklyn,Boerum Hill,40.68674,-73.98876
325,Brooklyn,Clinton Hill,40.6848,-73.96219
326,Brooklyn,Williamsburg,40.70516,-73.95455
327,Manhattan,East Village,40.72329,-73.98486
328,Brooklyn,Greenpoint,40.73776,-73.95327
329,Brooklyn,Greenpoint,40.73738,-73.95482
330,Brooklyn,Park Slope,40.67542,-73.98142
331,Brooklyn,Greenpoint,40.73842,-73.95312
332,Brooklyn,Brooklyn Heights,40.6926,-73.99832
333,Brooklyn,Brooklyn Heights,40.69441,-73.99771
334,Manhattan,East Village,40.72399,-73.98374
335,Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615
336,Brooklyn,Bushwick,40.68949,-73.91708
337,Brooklyn,Fort Greene,40.68819,-73.97258
338,Brooklyn,Williamsburg,40.7205,-73.96015
339,Manhattan,East Village,40.72451,-73.98094
340,Brooklyn,Greenpoint,40.73813,-73.95394
341,Brooklyn,Crown Heights,40.67591,-73.94715
342,Manhattan,East Village,40.72843,-73.98895
343,Manhattan,Two Bridges,40.71271,-73.99776
344,Brooklyn,Crown Heights,40.66966,-73.94735
345,Manhattan,Lower East Side,40.71965,-73.98766
346,Brooklyn,Clinton Hill,40.68613,-73.96536
347,Brooklyn,Bedford-Stuyvesant,40.68048,-73.94911
348,Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963
349,Queens,Astoria,40.75961,-73.91117
350,Brooklyn,Crown Heights,40.67473,-73.94494
351,Brooklyn,Bedford-Stuyvesant,40.69305,-73.93185
352,Brooklyn,Crown Heights,40.67174,-73.95663
353,Brooklyn,Williamsburg,40.71055,-73.95098
354,Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458
355,Brooklyn,Clinton Hill,40.68413,-73.96542
356,Manhattan,Kips Bay,40.73877,-73.97707
357,Manhattan,Chelsea,40.74893,-73.99544
358,Manhattan,East Harlem,40.79406,-73.94102
359,Brooklyn,Fort Greene,40.68795,-73.97332
360,Manhattan,Washington Heights,40.85295,-73.93361
361,Queens,Queens Village,40.72413,-73.76133
362,Brooklyn,Gowanus,40.66918,-73.99187
363,Brooklyn,Williamsburg,40.71125,-73.95613
364,Manhattan,Upper West Side,40.78558,-73.9696
365,Brooklyn,Williamsburg,40.71577,-73.96053
366,Brooklyn,Greenpoint,40.73861,-73.95485
367,Manhattan,East Village,40.72577,-73.98745
368,Queens,Rockaway Beach,40.58615,-73.81245
369,Brooklyn,Crown Heights,40.67086,-73.94872
370,Manhattan,Harlem,40.82773,-73.95231
371,Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684
372,Brooklyn,Greenpoint,40.72911,-73.95493
373,Manhattan,Upper West Side,40.77944,-73.98567
374,Manhattan,Midtown,40.74503,-73.98876
375,Brooklyn,Crown Heights,40.67539,-73.96093
376,Manhattan,Harlem,40.8054,-73.95189
377,Manhattan,Upper East Side,40.78491,-73.9508
378,Brooklyn,Fort Greene,40.69088,-73.97307
379,Brooklyn,Crown Heights,40.67555,-73.95057
380,Manhattan,Hell's Kitchen,40.75835,-73.99193
381,Brooklyn,South Slope,40.66527,-73.9886
382,Manhattan,Lower East Side,40.71895,-73.99434
383,Manhattan,Midtown,40.75579,-73.96699
384,Manhattan,Harlem,40.82399,-73.95328
385,Manhattan,Harlem,40.81822,-73.94095
386,Queens,Astoria,40.76434,-73.92132
387,Brooklyn,Crown Heights,40.67705,-73.94925
388,Brooklyn,Brooklyn Heights,40.69263,-73.99438
389,Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747
390,Manhattan,Chelsea,40.74412,-74.00208
391,Manhattan,East Village,40.73067,-73.98702
392,Brooklyn,Williamsburg,40.70665,-73.94061
393,Brooklyn,Williamsburg,40.72063,-73.95952
394,Brooklyn,Park Slope,40.67644,-73.98082
395,Manhattan,Harlem,40.80481,-73.94794
396,Manhattan,East Village,40.72533,-73.99143
397,Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038
398,Brooklyn,Kensington,40.64302,-73.97255
399,Manhattan,East Village,40.72939,-73.98857
400,Manhattan,Upper West Side,40.79918,-73.96607
401,Brooklyn,Gowanus,40.66862,-73.9926
402,Manhattan,Harlem,40.81333,-73.94453
403,Brooklyn,Greenpoint,40.72473,-73.95199
404,Queens,Forest Hills,40.70925,-73.85262
405,Manhattan,West Village,40.73215,-74.00922
406,Brooklyn,Williamsburg,40.71109,-73.94332
407,Manhattan,Murray Hill,40.7463,-73.97926
408,Brooklyn,Williamsburg,40.71823,-73.95849
409,Brooklyn,East Flatbush,40.651,-73.94886
410,Brooklyn,Fort Greene,40.68626,-73.97598
411,Manhattan,Chelsea,40.74488,-74.001
412,Brooklyn,Park Slope,40.67632,-73.97616
413,Brooklyn,Greenpoint,40.72212,-73.94254
414,Brooklyn,Crown Heights,40.67456,-73.95151
415,Brooklyn,Williamsburg,40.71363,-73.96019
416,Brooklyn,Crown Heights,40.6755,-73.95878
417,Manhattan,East Village,40.72274,-73.97581
418,Brooklyn,Boerum Hill,40.6858,-73.9828
419,Brooklyn,Park Slope,40.67535,-73.97654
420,Manhattan,Nolita,40.72255,-73.99346
421,Manhattan,Nolita,40.72094,-73.99706
422,Manhattan,East Village,40.72485,-73.97813
423,Manhattan,Harlem,40.80473,-73.9532
424,Manhattan,East Village,40.72217,-73.98419
425,Brooklyn,Williamsburg,40.71943,-73.9565
426,Manhattan,Chelsea,40.74249,-74.00329
427,Manhattan,Upper West Side,40.79264,-73.97294
428,Brooklyn,Windsor Terrace,40.65749,-73.97675
429,Manhattan,Harlem,40.80474,-73.94688
430,Manhattan,Greenwich Village,40.72831,-74.00177
431,Brooklyn,Williamsburg,40.71541,-73.94144
432,Manhattan,Upper West Side,40.79765,-73.96245
433,Manhattan,Upper East Side,40.78508,-73.95332
434,Bronx,Woodlawn,40.89747,-73.8639
435,Manhattan,Lower East Side,40.72008,-73.98404
436,Queens,Astoria,40.75725,-73.91098
437,Brooklyn,Williamsburg,40.7102,-73.94495
438,Brooklyn,Park Slope,40.67359,-73.97904
439,Manhattan,East Village,40.72674,-73.9782
440,Manhattan,Harlem,40.81156,-73.94571
441,Manhattan,Harlem,40.80497,-73.95016
442,Queens,Sunnyside,40.7385,-73.91806
443,Brooklyn,Greenpoint,40.72937,-73.95671
444,Manhattan,East Village,40.72587,-73.98438
445,Manhattan,Harlem,40.82426,-73.9463
446,Brooklyn,Williamsburg,40.71624,-73.96272
447,Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081
448,Brooklyn,Bedford-Stuyvesant,40.68669,-73.91989
449,Brooklyn,Williamsburg,40.71534,-73.95914
450,Brooklyn,Clinton Hill,40.68288,-73.96024
451,Brooklyn,Greenpoint,40.72489,-73.95494
452,Brooklyn,Williamsburg,40.70867,-73.94284
453,Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908
454,Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908
455,Manhattan,Chelsea,40.74346,-73.99882
456,Manhattan,Upper West Side,40.77724,-73.98109
457,Manhattan,East Village,40.72972,-73.97995
458,Queens,Sunnyside,40.74102,-73.91681
459,Brooklyn,Williamsburg,40.71309,-73.94128
460,Manhattan,Harlem,40.83096,-73.94633
461,Brooklyn,Williamsburg,40.71323,-73.95745
462,Brooklyn,Crown Heights,40.67212,-73.9506
463,Brooklyn,Williamsburg,40.71023,-73.96665
464,Manhattan,Harlem,40.80523,-73.95139
465,Manhattan,East Village,40.72636,-73.98917
466,Brooklyn,Greenpoint,40.72185,-73.93956
467,Manhattan,SoHo,40.72351,-73.99683
468,Brooklyn,Carroll Gardens,40.6809,-73.99233
469,Manhattan,Morningside Heights,40.80525,-73.95916
470,Queens,Sunnyside,40.74,-73.91901
471,Manhattan,Upper West Side,40.80006,-73.96049
472,Brooklyn,Bushwick,40.70283,-73.92131
473,Manhattan,Washington Heights,40.84468,-73.94303
474,Brooklyn,Carroll Gardens,40.68252,-73.99619
475,Manhattan,Chelsea,40.74342,-73.99483
476,Brooklyn,Park Slope,40.67853,-73.98089
477,Brooklyn,Park Slope,40.6788,-73.97643
478,Manhattan,Upper West Side,40.77886,-73.98042
479,Manhattan,East Village,40.72578,-73.97879
480,Brooklyn,South Slope,40.66085,-73.98537
481,Manhattan,East Harlem,40.80113,-73.94503
482,Manhattan,Upper West Side,40.78569,-73.97581
483,Manhattan,Harlem,40.82411,-73.94934
484,Brooklyn,Bedford-Stuyvesant,40.68131,-73.95332
485,Bronx,University Heights,40.85811,-73.90675
486,Brooklyn,Williamsburg,40.70667,-73.96524
487,Brooklyn,Gravesend,40.60452,-73.97103
488,Manhattan,East Harlem,40.7932,-73.94007
489,Brooklyn,Fort Greene,40.68768,-73.97611
490,Manhattan,Harlem,40.80224,-73.94558
491,Manhattan,Lower East Side,40.71473,-73.98842
492,Manhattan,Harlem,40.80518,-73.95359
493,Manhattan,Harlem,40.80827,-73.95329
494,Brooklyn,Greenpoint,40.72901,-73.95812
495,Manhattan,Gramercy,40.73476,-73.98452
496,Brooklyn,Bushwick,40.69055,-73.92357
497,Manhattan,Upper West Side,40.7735,-73.98697
498,Brooklyn,Crown Heights,40.67505,-73.95969
499,Manhattan,East Village,40.72974,-73.98201
500,Brooklyn,Williamsburg,40.70925,-73.95425
501,Brooklyn,Greenpoint,40.72315,-73.95226
502,Manhattan,Chelsea,40.73939,-73.99612
503,Manhattan,Kips Bay,40.74112,-73.97686
504,Manhattan,Lower East Side,40.72019,-73.98217
505,Manhattan,Nolita,40.72133,-73.99666
506,Queens,Astoria,40.75744,-73.92163
507,Queens,Astoria,40.75695,-73.9202
508,Manhattan,Harlem,40.8296,-73.94651
509,Manhattan,East Harlem,40.79056,-73.9468
510,Manhattan,West Village,40.73631,-73.99977
511,Bronx,Allerton,40.86466,-73.85709
512,Brooklyn,Williamsburg,40.71312,-73.96199
513,Brooklyn,Williamsburg,40.71297,-73.94336
514,Manhattan,West Village,40.73712,-74.00166
515,Brooklyn,Bedford-Stuyvesant,40.69242,-73.95097
516,Manhattan,Chelsea,40.73862,-73.99758
517,Brooklyn,Williamsburg,40.7158,-73.95803
518,Brooklyn,Prospect Heights,40.68262,-73.97299
519,Manhattan,East Village,40.73217,-73.98801
520,Manhattan,Hell's Kitchen,40.76311,-73.99388
521,Manhattan,Chelsea,40.74695,-74.00454
522,Brooklyn,East New York,40.67497,-73.87305
523,Brooklyn,Crown Heights,40.66788,-73.94813
524,Manhattan,Upper East Side,40.76684,-73.95944
525,Brooklyn,Bedford-Stuyvesant,40.68967,-73.95445
526,Brooklyn,Prospect Heights,40.67946,-73.96501
527,Brooklyn,Park Slope,40.66944,-73.98083
528,Manhattan,East Village,40.72566,-73.97748
529,Manhattan,Hell's Kitchen,40.7709,-73.99181
530,Brooklyn,Williamsburg,40.71943,-73.95958
531,Queens,Sunnyside,40.74249,-73.92466
532,Manhattan,Chelsea,40.74033,-74.00024
